,word,count
1467,bear,5
1468,appears,5
1469,barometer,5
1470,carefully,5
1471,letting,5
1472,likeness,5
1473,message,5
1474,offered,5
1475,host,5
1476,assured,5
1477,spring,5
1478,designed,5
1479,presented,5
1480,blue,5
1481,green,5
1482,crossed,5
1483,interrupted,5
1484,yesterday,5
1485,explanation,5
1486,network,4
1487,separate,4
1488,drawing,4
1489,steps,4
1490,downright,4
1491,hercules,4
1492,damages,4
1493,insist,4
1494,available,4
1495,hasty,4
1496,anyway,4
1497,wig,4
1498,companys,4
1499,premises,4
1500,weve,4
1501,created,4
1502,clue,4
1503,admitted,4
1504,handsomely,4
1505,detectives,4
1506,definite,4
1507,drove,4
1508,noticing,4
1509,seated,4
1510,persuade,4
1511,pick,4
1512,damage,4
1513,intent,4
1514,applicable,4
1515,statements,4
1516,company,4
1517,printed,4
1518,_crown,4
1519,handsome,4
1520,heads,4
1521,building,4
1522,chatted,4
1523,fearing,4
1524,complying,4
1525,fate,4
1526,produce,4
1527,plans,4
1528,health,4
1529,fix,4
1530,finding,4
1531,hansom,4
1532,contrivances,4
1533,grasp,4
1534,shell,4
1535,enginehouse,4
1536,performance,4
1537,lowered,4
1538,balloonist,4
1539,laugh,4
1540,halt,4
1541,bold,4
1542,earth,4
1543,inventors,4
1544,tug,4
1545,pretences,4
1546,bond,4
1547,dora,4
1548,posted,4
1549,holder,4
1550,status,4
1551,format,4
1552,collection,4
1553,displaying,4
1554,tilbury,4
1555,adventures,4
1556,aeronautic,4
1557,steady,4
1558,robbery,4
1559,seas,4
1560,rapid,4
1561,roll,4
1562,nature,4
1563,foreman,4
1564,leaves,4
1565,hes,4
1566,blood,4
1567,flash,4
1568,inch,4
1569,occupied,4
1570,honest,4
1571,astonished,4
1572,helped,4
1573,lifted,4
1574,hair,4
1575,remove,4
1576,director,4
1577,favourable,4
1578,indication,4
1579,imply,4
1580,relative,4
1581,enable,4
1582,bail,4
1583,loving,4
1584,slave,4
1585,nisbet,4
1586,roger,4
1587,publishers,4
1588,commenced,4
1589,reminded,4
1590,formed,4
1591,stolen,4
1592,locked,4
1593,active,4
1594,aspect,4
1595,jove,4
1596,reliable,4
1597,attendant,4
1598,purposes,4
1599,duly,4
1600,heiress,4
1601,sailor,4
1602,descend,4
1603,evil,4
1604,shoulder,4
1605,thick,4
1606,drink,4
1607,folkestone,4
1608,journey,4
1609,1e8,4
1610,phrase,4
1611,copying,4
1612,deceived,4
1613,anybody,4
1614,equally,4
1615,undertake,4
1616,ascertained,4
1617,altered,4
1618,entire,4
1619,flame,4
1620,inspector,4
1621,inflation,4
1622,slowly,4
1623,trail,4
1624,theyre,4
1625,anyhow,4
1626,past,4
1627,trafalgar,4
1628,stepped,4
1629,washed,4
1630,ladder,4
1631,encouraged,4
1632,traps,4
1633,foreigners,4
1634,yah,4
1635,decide,4
1636,moments,4
1637,slightest,4
1638,neighbourhood,4
1639,urged,4
1640,difficulty,4
1641,advised,4
1642,overheard,4
1643,northerly,4
1644,listened,4
1645,fancies,4
1646,impossible,4
1647,learn,4
1648,curious,4
1649,everybody,4
1650,ascertain,4
1651,_third,4
1652,retreat,4
1653,france,4
1654,harbourmaster,4
1655,bishopstone,4
1656,capture,4
1657,astonishment,4
1658,drying,4
1659,salve,4
1660,complete,4
1661,rays,4
1662,steamers,4
1663,seeking,4
1664,dutch,4
1665,passengers,4
1666,finish,4
1667,positively,4
1668,interview,4
1669,concerning,4
1670,marshes,4
1671,possession,4
1672,reader,4
1673,judge,4
1674,adopted,4
1675,amused,4
1676,novels,4
1677,rare,4
1678,signalling,4
1679,advancing,4
1680,accordance,4
1681,inferred,4
1682,value,4
1683,facilitate,4
1684,servants,4
1685,poacher,4
1686,listening,4
1687,delight,4
1688,introduce,4
1689,pounds,4
1690,consideration,4
1691,guess,4
1692,card,4
1693,pale,4
1694,lucys,4
1695,pitch,4
1696,mile,4
1697,proceeding,4
1698,admirably,4
1699,poems,4
1700,whole,4
1701,pleasant,4
1702,resemblance,4
1703,mark,4
1704,privately,4
1705,consult,4
1706,attentions,4
